"subject" "act_label" "tBodyAcc_mean()_X" "tBodyAcc_mean()_Y" "tBodyAcc_mean()_Z" "tBodyAcc_std()_X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z"
"1" "WALKING_DOWNSTAIRS" 0.272154196428571 -0.0153264487792857 -0.0949711475357143 -0.10438892475 -0.0102461790107143 -0.116902427035714
"1" "WALKING_UPSTAIRS" 0.265130137749216 -0.0185590134726959 -0.108975792340125 -0.584539467328931 -0.39909289878558 -0.536504094358307
"2" "WALKING" 0.273113115788079 -0.0191323183174834 -0.115649958175497 -0.605586497159271 -0.428962986589404 -0.589360062210596
"3" "WALKING_DOWNSTAIRS" 0.273428719636364 -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.480015920697654 -0.653625579293255
"4" "WALKING" 0.274183111498423 -0.0148081545344921 -0.107521430810726 -0.605211727785489 -0.509929384011325 -0.709492735962145
"5" "WALKING_DOWNSTAIRS" 0.279177960301325 -0.0154833455336192 -0.105661736816887 -0.507691011391722 -0.402724906078146 -0.646443640175497
"6" "WALKING_DOWNSTAIRS" 0.272376614181538 -0.0175697042641846 -0.11599454136 -0.505086085072062 -0.368403670137262 -0.672512004586708
"7" "WALKING_DOWNSTAIRS" 0.270211697814935 -0.0187904887668182 -0.112492375388312 -0.577518324748052 -0.546403365345779 -0.456473642256981
"8" "SITTING" 0.265556589446927 -0.0203467625075978 -0.105083983984358 -0.502699525770391 -0.242994007530726 -0.363216848830168
"8" "WALKING_DOWNSTAIRS" 0.279888894852941 -0.014403708822451 -0.109837952176471 -0.723806131323529 -0.536087268205882 -0.738588327088235
"9" "WALKING" 0.270313841621528 -0.0209466555412396 -0.101233826213889 -0.555656544538194 -0.5758878952125 -0.506111776081806
"10" "WALKING" 0.27684847392517 -0.017835790552415 -0.111301532185714 -0.537807711163265 -0.497405885644898 -0.614776952226361
"11" "SITTING" 0.27658531139557 -0.0191272531933228 -0.108941761642405 -0.58947649779557 -0.490379346996835 -0.665324314227848
"12" "WALKING" 0.27360872421875 -0.018337204411489 -0.106649116775 -0.583962207065 -0.522040023435 -0.699293531365625
"13" "WALKING" 0.27456972840796 -0.0183337873806468 -0.108167276572637 -0.685015769826368 -0.570516379262438 -0.566126913374129
"13" "WALKING_UPSTAIRS" 0.278011397674603 -0.0165604410159524 -0.110679490349206 -0.52885689484127 -0.254675172748413 -0.620895906571429
"14" "SITTING" 0.270184596009288 -0.0162548178510526 -0.100985935692074 -0.611671118216099 -0.374730765205077 -0.29354271467452
"15" "SITTING" 0.27821340725 -0.016464484771311 -0.112563587594512 -0.556541173089329 -0.481679537956006 -0.705706623868902
"16" "SITTING" 0.277887440374317 -0.0158567888309016 -0.107263924445355 -0.668161498298634 -0.649947067892896 -0.603819902386066
"17" "SITTING" 0.273637590822641 -0.0170634745358491 -0.110020373493849 -0.726604261136226 -0.69873479216917 -0.710765044595472
"17" "STANDING" 0.275037981747573 -0.0187717447257282 -0.107088805592233 -0.304479616925534 -0.228089685806311 -0.531472983009709
"18" "WALKING_UPSTAIRS" 0.276324152142857 -0.0172831546595266 -0.108112251068681 -0.694616884972527 -0.627117507326923 -0.701596039615385
"19" "STANDING" 0.269723487105556 -0.0182031515710306 -0.118277180099383 -0.574658922919194 -0.507035084992639 -0.649184726556944
"20" "WALKING_UPSTAIRS" 0.268425757926554 -0.0175912993773164 -0.108029145824294 -0.60484669490339 -0.369336706508757 -0.634787346548023
"21" "STANDING" 0.277466525522059 -0.0176664578561765 -0.10877848058848 -0.672323867377451 -0.565585190336299 -0.669621813176471
"22" "STANDING" 0.274767690046106 -0.0168273604077383 -0.108670376782866 -0.546089975548692 -0.491188426241526 -0.65508967878972
"23" "STANDING" 0.273493254730108 -0.019589258786828 -0.109093982385242 -0.622594039757258 -0.532078546615699 -0.450557203409946
"24" "WALKING_UPSTAIRS" 0.276767046391076 -0.0176822460103885 -0.107914503687664 -0.675459176298425 -0.582490655185302 -0.636497458900262
"25" "LAYING" 0.281587895671642 -0.0232940871262687 -0.111342868820896 -0.35449578219403 -0.122076968631343 -0.358563807910448
"25" "STANDING" 0.274069916107602 -0.0185440541740351 -0.109293279122807 -0.787137363888889 -0.611614171529825 -0.703620787552632
"26" "LAYING" 0.2730365808625 -0.0161687277463495 -0.107637894928571 -0.623101031168367 -0.585967142418112 -0.70498062744898
"27" "LAYING" 0.277264567074468 -0.0167969215592152 -0.110848300413564 -0.660976085218085 -0.630460488658511 -0.68321532587766
"28" "LAYING" 0.277532554764398 -0.0191721442063089 -0.109710873104188 -0.649040391307853 -0.573651895933508 -0.685821415026178
"29" "LAYING" 0.279111521944767 -0.018471953048314 -0.108675612269477 -0.574295395364826 -0.598400275636657 -0.606461283926453
"30" "LAYING" 0.276305836721932 -0.0175856077340209 -0.10589355727859 -0.615890785389034 -0.519047387875457 -0.522643273772115
